State Name,State Name [State] 2023-24,State Abbr [State] Latest available year,ANSI/FIPS State Code [State] Latest available year,Web Site URL [State] 2023-24,Total Number of Districts with Enrollment [District] 2023-24,Total Number Operational School Districts [District] 2023-24,Total Number of School Districts [District] 2023-24,Total Number Operational Schools [Public School] 2023-24,Total Number Operational Charter Schools [Public School] 2023-24,Total Number of Public Schools [Public School] 2023-24,State Education Agency Name [State] 2023-24,Mailing Address 1 [State] 2023-24,Mailing Address 2 [State] 2023-24,Mailing Address 3 [State] 2023-24,Mailing City [State] 2023-24,Mailing State Name [State] 2023-24,Mailing ZIP [State] 2023-24,Mailing ZIP4 [State] 2023-24,Phone Number [State] 2023-24,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2023-24,Total Enrollment (Include AE) for SY 2014-15 onward [State] 2023-24,Grades 1-8 Students [State] 2023-24,Grades 9-12 Students [State] 2023-24,Prekindergarten Students [State] 2023-24,Kindergarten Students [State] 2023-24,Male Students [State] 2023-24,Female Students [State] 2023-24,Pupil/Teacher Ratio [State] 2023-24,Full-Time Equivalent (FTE) Teachers [State] 2023-24,Prekindergarten Teachers [State] 2023-24,Kindergarten Teachers [State] 2023-24,Elementary Teachers [State] 2023-24,Secondary Teachers [State] 2023-24,Ungraded Teachers [State] 2023-24,Full-Time Equivalent (FTE) Staff [State] 2023-24,Paraprofessionals/Instructional Aides [State] 2023-24,Instructional Coordinators [State] 2023-24,Elementary School Counselor [State] 2023-24,Secondary School Counselor [State] 2023-24,Other Guidance Counselors [State] 2023-24,Guidance Counselors [State] 2023-24,Librarians/media specialists [State] 2023-24,Media Support Staff [State] 2023-24,LEA Administrators [State] 2023-24,LEA Administrative Support Staff [State] 2023-24,School Administrators [State] 2023-24,School Administrative Support Staff [State] 2023-24,Student Support Services Staff (w/o Psychology) [State] 2023-24,School Psychologist [State] 2023-24,All Other Support Staff [State] 2023-24,Grade 1 Students [State] 2023-24,Grade 2 Students [State] 2023-24,Grade 3 Students [State] 2023-24,Grade 4 Students [State] 2023-24,Grade 5 Students [State] 2023-24,Grade 6 Students [State] 2023-24,Grade 7 Students [State] 2023-24,Grade 8 Students [State] 2023-24,Grade 9 Students [State] 2023-24,Grade 10 Students [State] 2023-24,Grade 11 Students [State] 2023-24,Grade 12 Students [State] 2023-24,Grade 13 Students [State] 2023-24,Ungraded Students [State] 2023-24,Adult Education Students [State] 2023-24
MASSACHUSETTS,MASSACHUSETTS,MA ,25,http://www@doe.mass.edu                                      ,398,424,424,1832,76,1832,DEPARTMENT OF EDUCATION,135 Santilli Highway,†,†,Everett,MASSACHUSETTS,02149,†,7813383000,914958,914958,531280,287938,32096,61846,470306,442952,11.79,77630.27,2173.69,4156.20,46803.69,24496.69,†,147654.79,28250.01,620.48,1038.13,1657.56,0.00,2695.69,640.23,1489.54,3155.29,3372.68,6295.94,5913.77,12600.19,1381.94,3608.75,64297,66656,64713,65968,66977,66913,67672,68084,73817,73468,71883,68770,0,1798,†
MICHIGAN,MICHIGAN,MI ,26,http://www.michigan.gov/mde/                                 ,880,882,885,3485,365,3487,Michigan Department of Education,608 W Allegan Street,PO Box 30008,†,Lansing,MICHIGAN,48909,†,8336335788,1426491,1426491,817242,445563,48993,110738,732174,694317,16.58,86021.53,2853.90,5274.77,31046.99,36492.27,10353.60,203604.01,21917.89,1949.56,257.60,1742.87,487.10,2487.57,516.83,949.31,5887.27,1390.66,5136.62,12245.60,19749.90,1053.16,44298.11,101012,102967,100500,102066,101538,102387,103636,103136,114337,112781,109526,108919,†,3955,†
MINNESOTA,MINNESOTA,MN ,27,http://education.state.mn.us/mde/index.html                  ,544,574,580,2696,308,2720,Minnesota Department of Education,400 NE Stinson Blvd,†,†,Minneapolis,MINNESOTA,55413,†,6515828200,869967,869967,503797,281619,25200,59351,448351,421616,14.70,59181.41,2514.68,3337.44,25700.37,23686.90,3942.02,128523.70,21828.77,3235.06,271.27,1337.87,0.00,1609.14,377.61,623.86,2845.42,2177.91,2902.86,3773.98,15882.48,822.19,13263.01,61479,63312,61522,63334,63034,63183,63224,64709,67778,69686,70048,74107,†,†,†
MISSISSIPPI,MISSISSIPPI,MS ,28,http://WWW.MDEK12.ORG/                                       ,152,152,152,1032,10,1032,MISSISSIPPI DEPARTMENT OF EDUCATION,P. O. BOX 771,†,†,JACKSON,MISSISSIPPI,39205,†,6013593513,436523,436523,256686,130297,9338,32597,222336,214187,12.96,33694.44,681.61,1665.55,14113.62,14004.81,3228.85,68788.86,8282.17,834.30,504.08,664.29,0.00,1168.37,722.32,54.41,1046.50,2121.52,2158.70,2783.49,3744.34,41.14,12137.16,33594,33432,32235,30355,29800,31874,33344,32052,35361,34773,32106,28057,†,7605,†
MISSOURI,MISSOURI,MO ,29,http://dese.mo.gov                                           ,558,565,565,2475,82,2475,MISSOURI DEPT OF ELEMENTARY AND SECONDARY EDUCATION,PO BOX 480,†,†,JEFFERSON CITY,MISSOURI,65102,0480,5737513503,891248,891248,518724,275053,35675,61796,459031,432217,12.77,69785.52,2612.56,4082.03,29362.42,33728.51,†,128868.24,14931.92,1713.99,1191.66,656.86,1162.41,3010.93,1306.60,64.10,923.04,6068.69,3729.85,188.36,6481.71,483.09,20180.44,62833,65150,63631,64686,64794,65164,65646,66820,70725,70444,68735,65149,†,†,†
MONTANA,MONTANA,MT ,30,http://www.opi.mt.gov                                        ,397,479,480,821,†,840,Montana Office of Public Instruction,1227 11th Avenue,P O Box 202501,†,Helena,MONTANA,59620,2501,4064443095,149291,149291,90644,45199,1451,11997,76861,72428,13.79,10828.28,34.05,656.38,6875.09,3240.32,22.44,21636.90,2842.51,247.19,336.73,177.51,2.00,516.24,343.56,–,577.24,52.47,550.44,0.00,713.36,152.41,4813.20,10880,11677,11386,11333,11337,11320,11450,11261,11945,11903,10965,10386,†,†,†
NEBRASKA,NEBRASKA,NE ,31,http://www.education.ne.gov                                  ,250,279,279,1098,†,1098,Nebraska Department of Education,301 Centennial Mall South,PO Box 94987,†,Lincoln,NEBRASKA,68509,4987,4024712295,329162,329162,187664,99596,19515,22387,170833,158329,13.69,24052.26,916.22,1392.31,13159.69,8584.04,†,50082.10,7286.04,718.82,557.02,434.91,0.00,991.93,526.35,378.71,925.86,1233.81,1183.26,1748.77,1549.76,368.62,9117.91,22960,23525,23330,23643,23344,23400,23400,24062,25232,25369,23612,25383,†,†,†
NEVADA,NEVADA,NV ,32,http://www.doe.nv.gov                                        ,20,20,20,762,104,766,Nevada Department of Education,700 East Fifth Street,†,†,Carson City,NEVADA,89701,†,7756879100,479574,485566,284029,152057,13516,28931,246590,232816,21.28,22532.96,193.00,1313.00,8187.55,8689.34,4150.07,50112.76,7198.00,2001.30,315.50,648.50,91.35,1055.35,367.50,429.00,75.90,1590.50,1638.80,2976.50,460.15,250.80,9536.00,32825,35608,34318,35460,35983,36249,36629,36957,37868,39056,38954,36179,†,1041,5992
NEW HAMPSHIRE,NEW HAMPSHIRE,NH ,33,http://www.education.nh.gov                                  ,197,212,212,507,43,507,NH Dept of Education,25 Hall St.,†,†,Concord,NEW HAMPSHIRE,03301,3471,6032716133,166594,166594,97892,53272,4456,10901,86218,80376,11.49,14494.40,232.40,694.20,8830.80,4737.00,†,31183.52,5278.00,281.80,512.50,360.10,0.00,872.60,319.80,192.80,804.29,753.53,966.00,1224.60,1460.28,233.82,4301.60,11702,12132,12008,12144,12461,12299,12681,12465,13806,13407,13185,12874,73,†,†
NEW JERSEY,NEW JERSEY,NJ ,34,http://www.state.nj.us/education/                            ,652,698,698,2558,85,2561,NEW JERSEY DEPARTMENT OF EDUCATION,JUDGE ROBERT L CARTER BLDG,100 RIVERVIEW PLAZA,PO Box 500,Trenton,NEW JERSEY,08625,0500,6093763500,1392567,1392567,787233,430183,83891,91260,717313,674479,11.80,118031.40,5036.03,2820.41,54223.08,36763.17,19188.71,249398.35,44469.95,4463.27,0.00,0.00,4666.17,4666.17,1159.60,0.00,1551.95,5643.23,5582.52,9718.59,12893.27,2111.27,39107.13,94130,96952,96085,97688,98552,99993,101322,102511,108331,107670,108310,105872,†,†,†
NEW MEXICO,NEW MEXICO,NM ,35,http://webnew.ped.state.nm.us                                ,153,153,153,888,101,888,New Mexico Public Education Department,300 Don Gaspar,†,†,Santa Fe,NEW MEXICO,87501,†,5058275800,311719,311719,179129,102005,10884,19701,159372,152347,14.43,21595.70,653.19,1056.92,7536.62,8407.77,3941.20,35941.87,4491.27,269.75,272.73,429.13,7.00,708.86,196.43,130.46,178.91,32.92,1209.62,2050.45,2107.67,35.17,2934.66,20969,22140,21551,22177,22632,22722,23179,23759,29067,26994,24178,21766,†,†,†
NEW YORK,NEW YORK,NY ,36,http://www.nysed.gov                                         ,1062,1104,1111,4814,343,4836,NEW YORK STATE EDUCATION DEPARTMENT,89 WASHINGTON AVE,†,†,ALBANY,NEW YORK,12234,†,5184746569,2533449,2533449,1459211,787480,73550,172242,1304354,1228092,11.65,217521.63,1366.92,13075.92,101484.67,99107.60,2486.52,442524.36,78554.20,7388.92,0.00,0.00,8068.24,8068.24,1561.42,1179.50,4225.86,24986.50,10551.08,3199.98,14517.15,4651.00,66118.90,177793,181728,177650,181075,181587,184272,185822,189284,206087,202387,191987,187019,†,40966,†
NORTH CAROLINA,NORTH CAROLINA,NC ,37,http://www.dpi.nc.gov/                                       ,335,357,369,2716,210,2746,NC Department of Public Instruction,6307 Mail Service Center,†,†,Raleigh,NORTH CAROLINA,27699,6307,9198073300,1544289,1544289,922608,486214,23658,110038,790822,753467,15.29,100994.13,2127.21,6959.97,61447.05,29534.62,925.28,198258.38,22706.43,1354.45,1993.08,2410.25,140.03,4543.36,1951.35,174.65,2045.81,6174.41,6495.64,7063.27,12780.95,789.67,31184.26,113832,117638,111496,114094,115110,115544,116307,118587,137857,126231,117470,104656,1771,0,†
NORTH DAKOTA,NORTH DAKOTA,ND ,38,http://www.nd.gov/dpi                                        ,168,221,222,507,†,522,North Dakota Department of Public Instruction,600 E BOULEVARD AVENUE,11th FLOOR,DEPARTMENT 201,BISMARCK,NORTH DAKOTA,58505,0440,7013282260,119033,119033,72645,34628,3119,8641,61099,57934,12.35,9639.10,171.04,620.17,5678.36,3169.53,†,20134.94,3401.79,272.09,0.00,0.00,412.34,412.34,175.54,176.86,555.74,362.87,572.74,614.49,1088.19,98.84,2764.35,9297,9486,9122,9122,9014,9159,8697,8748,9174,8956,8446,8052,†,†,†
OHIO,OHIO,OH ,39,http://www.education.ohio.gov                                ,999,1057,1057,3577,335,3577,Ohio Department of Education and Workforce,25 S Front St,†,†,Columbus,OHIO,43215,4176,8776446338,1675300,1675300,974241,536231,46988,117840,861273,814027,16.64,100659.10,2433.63,6642.21,41659.23,47448.88,2475.15,308530.58,26738.87,2087.06,0.00,0.00,4372.75,4372.75,620.78,1338.57,2755.42,15332.75,5776.46,11402.73,28561.41,2054.68,106829.89,119486,124130,117514,120936,121946,121741,123784,124704,136790,133527,135940,129974,–,–,–
OKLAHOMA,OKLAHOMA,OK ,40,http://www.sde.ok.gov                                        ,541,594,594,1778,67,1778,OKLAHOMA STATE DEPARTMENT OF EDUCATION,2500 NORTH LINCOLN BLVD,†,†,OKLAHOMA CITY,OKLAHOMA,73105,4599,4055213301,698761,698761,404798,208190,37302,48471,358264,340330,16.34,42751.11,1709.88,2020.73,19653.09,19367.41,†,91369.29,12145.81,514.80,821.75,1113.67,0.00,1935.42,898.01,710.97,978.01,3344.66,2609.25,3984.83,6282.10,176.08,15038.24,50700,50873,50737,49992,50267,49864,50564,51801,55844,54006,51486,46854,†,†,†
OREGON,OREGON,OR ,41,http://www.oregon.gov/ode/                                   ,202,222,222,1296,132,1296,Oregon Department of Education,255 Capitol St NE,†,†,Salem,OREGON,97310,0203,5039475600,547424,547425,328590,183190,–,35644,281666,262834,17.61,31082.71,481.54,2361.49,18774.74,9464.94,†,80285.11,12434.01,824.16,0.00,0.00,1658.32,1658.32,174.84,678.59,564.81,2996.02,2010.86,4376.26,3336.27,427.90,19720.33,38406,40577,40026,41618,41454,41670,42008,42831,44871,46733,45424,46162,†,†,1
PENNSYLVANIA,PENNSYLVANIA,PA ,42,http://www.education.pa.gov                                  ,771,786,787,2926,175,2932,Pennsylvania Department of Education,333 Market St,†,†,Harrisburg,PENNSYLVANIA,17126,†,7177836788,1692829,1692829,1013124,554726,9823,115156,871643,821186,13.07,129545.28,654.14,4854.02,55457.49,54858.22,13721.41,256685.29,33070.00,2106.66,0.00,0.00,5302.44,5302.44,1493.08,1154.00,2833.84,8263.00,6069.20,9468.00,9468.43,1673.36,46238.00,121416,126839,121623,126346,126867,127981,130519,131533,143638,141356,134910,134822,†,0,†
RHODE ISLAND,RHODE ISLAND,RI ,44,http://WWW.RIDE.RI.GOV                                       ,64,67,68,312,41,315,RHODE ISLAND DEPARTMENT OF EDUCATION,255 WESTMINSTER STREET,THE SHEPARD BUILDING,†,PROVIDENCE,RHODE ISLAND,02903,†,4012228706,136154,136154,79432,44262,3259,9201,69625,65109,12.68,10735.00,247.00,614.00,6307.00,3567.00,†,21190.00,2952.00,268.00,77.00,300.00,0.00,377.00,183.00,11.00,392.00,568.00,667.00,700.00,1948.00,225.00,2164.00,9553,10028,9655,9913,9973,9928,10133,10249,10988,11264,11195,10815,†,†,†
